sku_num,sku_pos,sku_erp,product_name,category,pos_erp_link_source,stores_tracked,store_days_not_reported,units_net_tracked,avg_stock,rotation,days_of_inventory,units_net_untracked_pairs,rotation_na_as_zero,rotation_all_store_sales,rotation_gross
52,CN-00052,ERP-PROV-MX-052-C,Americano Cafe Molido,cafe_molido,explicito,19,57.0,302.0,743.9877213981547,0.40592067760535094,448.3634612399475,282.0,0.41281619900258365,0.7849591911308773,0.41936175964526323
31,CN-00031,ERP-PROV-MX-031-A,Termo Mercancia,mercancia,inferido,16,56.0,215.0,636.6639875923887,0.33769775610058445,538.9434685665802,379.0,0.34421787856929215,0.9329882191802193,0.3581166901903872
32,CN-00032,ERP-PROV-MX-032-D,Americano Cafe Grano,cafe_grano,explicito,15,64.0,208.0,600.1967011415437,0.34655305436433514,525.1721134988508,352.0,0.35496877520019504,0.9330274540578254,0.3515514157253592
15,CN-00015,ERP-PROV-MX-015-D,Especial Cafe Molido,cafe_molido,explicito,17,57.0,296.0,684.1203569870912,0.4326724047557984,420.6415708501709,360.0,0.44082941917745444,0.9588955997290667,0.4619070266987577
22,CN-00022,ERP-PROV-MX-022-A,Ensalada Comida Caliente,comida_caliente,explicito,15,56.0,201.0,606.1368359727607,0.3316082905230871,548.8403191395146,370.0,0.33851221927137803,0.9420315118839937,0.3431568379542394
5,CN-00005,ERP-PROV-MX-005-C,Croissant Panaderia,panaderia,explicito,20,68.0,327.0,805.6197220518596,0.4058987026374588,448.3877352092919,296.0,0.4136191151328135,0.773317711752712,0.4145876656908601
44,CN-00044,ERP-PROV-MX-044-A,Filtros Mercancia,mercancia,explicito,16,54.0,215.0,633.9253745212346,0.33915663994736994,536.6252007575102,324.0,0.34554622442401606,0.8502578089843367,0.3612412583625475
30,CN-00030,ERP-PROV-MX-030-C,Molinillo Mercancia,mercancia,explicito,14,48.0,188.0,561.6443241421114,0.33473141616300006,543.7195052865121,389.0,0.34119441979198867,1.0273405698194205,0.3560972512372341
17,CN-00017,ERP-PROV-MX-017-B,Quiche Comida Caliente,comida_caliente,explicito,20,68.0,274.0,781.6548461494189,0.3505383499504626,519.2013941576431,257.0,0.3572001604492579,0.6793279701594732,0.36589039447384053
9,CN-00009,ERP-PROV-MX-009-B,Termo Mercancia,mercancia,explicito,19,61.0,259.0,750.3640260449382,0.34516580087821114,527.2828291126593,331.0,0.35133302029529917,0.7862850290275852,0.36382341173649285
65,CN-00065,ERP-PROV-MX-065-D,Estándar Cafe Molido,cafe_molido,explicito,18,45.0,226.0,714.0963020509498,0.31648392429831573,575.0687034215613,306.0,0.3209676160749122,0.7449975563128494,0.33048763776284296
14,CN-00014,ERP-PROV-MX-014-D,Descafeinado Cafe Grano,cafe_grano,explicito,16,63.0,235.0,640.8580954946265,0.36669584366976365,496.3241420426468,349.0,0.3748400553890379,0.9112781817154977,0.37137706720597335
42,CN-00042,ERP-PROV-MX-042-A,Quiche Comida Caliente,comida_caliente,explicito,20,53.0,296.0,782.9806689125373,0.37804253891875406,481.4273031827088,282.0,0.3836627140974967,0.7382046874832427,0.39081424631465794
70,CN-00070,ERP-PROV-MX-070-D,Molinillo Mercancia,mercancia,explicito,20,66.0,260.0,808.6014830945279,0.3215428186020347,566.0210381661694,300.0,0.3274423239270936,0.6925537631428439,0.3351465532351977
60,CN-00060,ERP-PROV-MX-060-A,Espresso Cafe Grano,cafe_grano,explicito,19,70.0,268.0,757.5386130187758,0.3537773459916789,514.4478640649895,323.0,0.36111378460217225,0.780158251795083,0.3669779932301744
63,CN-00063,ERP-PROV-MX-063-C,Gourmet Cafe Molido,cafe_molido,explicito,22,83.0,297.0,878.7508208657948,0.33797976963182674,538.4937690154029,265.0,0.3450952852172248,0.6395442105491133,0.35960137105608503
39,CN-00039,ERP-PROV-MX-039-B,Taza Mercancia,mercancia,explicito,21,61.0,287.0,828.3876904464303,0.3464561380014369,525.3190232099314,277.0,0.35213062149025537,0.6808406335637992,0.36214927317223367
28,CN-00028,ERP-PROV-MX-028-D,Selección Cafe Molido,cafe_molido,explicito,21,76.0,289.0,850.2499400198163,0.33990005338108514,535.4515193204379,283.0,0.346817531435655,0.6727433582490682,0.3540135504072894
2,CN-00002,ERP-PROV-MX-002-B,Sándwich Comida Caliente,comida_caliente,explicito,17,70.0,278.0,692.0188563542016,0.40172315746510384,453.0483160304485,319.0,0.41101877350750216,0.8626932554196655,0.41183848876818197
10,CN-00010,ERP-PROV-MX-010-D,Descafeinado Cafe Grano,cafe_grano,explicito,18,56.0,218.0,707.1604968933923,0.30827513832813047,590.3816992412725,325.0,0.3136467481956379,0.7678596335420865,0.34079957952788736
18,CN-00018,ERP-PROV-MX-018-A,Tradicional Cafe Molido,cafe_molido,explicito,18,68.0,261.0,719.3057749711721,0.36284986035383937,501.5848699032694,251.0,0.37054776354587576,0.7117974272075316,0.3684107777538982
47,CN-00047,ERP-PROV-MX-047-B,Filtros Mercancia,mercancia,explicito,18,62.0,302.0,713.3220495446351,0.4233711830340705,429.88282456001184,326.0,0.43153357567382966,0.8803877580973386,0.4486052270559687
29,CN-00029,ERP-PROV-MX-029-C,Termo Mercancia,mercancia,explicito,20,82.0,278.0,796.6966028908566,0.3489408627967811,521.5783515328629,262.0,0.35703398441910356,0.6777987982383518,0.3677686071922909
34,CN-00034,ERP-PROV-MX-034-D,Estándar Cafe Molido,cafe_molido,explicito,16,46.0,237.0,642.3127926478425,0.3689791059944509,493.2528618645878,378.0,0.3749087369189584,0.9574774269476256,0.38299097077905025
